name,address,suburb,postcode,type,emergency,lhn_code
Quorn Health Service,Hospital Road,Quorn,5433,Public Hospital,Emergency Service,FUNLHN
Renmark Paringa District Hospital,Ral Ral Avenue,Renmark,5341,Public Hospital,Emergency Service,RMCLHN
Riverland General Hospital,10 Maddern Street,Berri,5343,Public Hospital,Emergency Department,RMCLHN
Riverton District Soldiers' Memorial Hospital,23 Moorhouse Terrace,Riverton,5412,Public Hospital,Emergency Service,YNLHN
Roxby Downs Health Service,16-28 Burgoyne Street,Roxby Downs,5725,Public Hospital,Emergency Service,FUNLHN
Royal Adelaide Hospital,Port Road,Adelaide,5000,Public Hospital,Emergency Department,CALHN
Snowtown Hospital and Health Service,South Terrace,Snowtown,5520,Public Hospital,Emergency Service,YNLHN
South Coast District Hospital,Bay Road,Victor Harbor,5211,Public Hospital,Emergency Department,BHFLHN
Southern Yorke Peninsula Health Service (Yorketown),19 Waterloo Bay Road,Yorketown,5576,Public Hospital,Emergency Service,YNLHN
Strathalbyn and District Health Service,14 Alfred Place,Strathalbyn,5255,Public Hospital,Emergency Service,BHFLHN
Streaky Bay Hospital,1 Flinders Drive,Streaky Bay,5680,Public Hospital,Emergency Service,EFNLHN
Tailem Bend District Hospital,74 Princes Highway,Tailem Bend,5260,Public Hospital,Emergency Service,RMCLHN
Tanunda War Memorial Hospital,15 Mill Street,Tanunda,5352,Public Hospital,Emergency Service,BHFLHN
The Queen Elizabeth Hospital,28 Woodville Road,Woodville South,5011,Public Hospital,Emergency Department,CALHN
The Repat Precinct,216 Daws Road,Daw Park,5041,Public Rehabilitation Hospital,No,SALHN
Tumby Bay Hospital and Health Services,8-11 Esplanade,Tumby Bay,5605,Public Hospital,Emergency Service,EFNLHN
Waikerie Health Service,1 Lawrie Terrace,Waikerie,5330,Public Hospital,Emergency Service,RMCLHN
Whyalla Hospital and Health Services,20 Wood Terrace,Whyalla,5600,Public Hospital,Emergency Department,FUNLHN
Women's & Children's Hospital,72 King William Road,North Adelaide,5006,Public Hospital,Emergency Department,WCHN
Wudinna Hospital,16-24 Richards Avenue,Wudinna,5652,Public Hospital,Emergency Service,EFNLHN
